Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Driver_Modulation\Release_Products\JLCPCB_Assy\Pick Place for Driver_Modulation(PRODUCTION_JLCPCB).csv

========================================================================================================================
File Design Information:

Date:       13/10/25
Time:       01:04
Revision:   ce427f90bae8a6df6ec737c086ba4f3ff7b9e86e
Variant:    PRODUCTION_JLCPCB
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment","Description"
"D19","SODFL160X70-2N","-62.4840","19.3040","-62.4840","19.3040","-63.0840","19.3040","TopLayer","0","RB521S30T1G","SCHOTTKY BARRIER DIODE Rectifier Diode, Schottky, 1 Phase, 1 Element, 0.2A, 30V V(RRM), Silicon RB521S-30"
"MH8","Mounting_hole_M3-Footprint-1","-85.0900","35.5600","-85.0900","35.5600","-82.5900","35.5600","TopLayer","0","Mounting hole M3","Close fit Di3.2 mm Alt: M3 nut flange"
"MH9","Mounting_hole_M3-Footprint-1","-74.9300","45.7200","-74.9300","45.7200","-72.4300","45.7200","TopLayer","0","Mounting hole M3","Close fit Di3.2 mm Alt: M3 nut flange"
"Q7","SOT95P252X140-3N","-61.9760","21.8440","-61.9760","21.8440","-61.0260","23.1190","TopLayer","270","MDD2302","4A 25mO@4.5V null SOT-23 MOSFETs ROHS N CHANNEL"
"R37","RESC1005X04N","-62.4840","18.2880","-62.4840","18.2880","-62.9920","18.2880","TopLayer","0","0402WGF1200TCE","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 120ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R38","RESC1005X04N","-61.4680","24.3840","-61.4680","24.3840","-61.9760","24.3840","TopLayer","0","CRCW0402100KFKEDC","RES 100K OHM 1% 1/16W 0402"
"MH7","Mounting_hole_M3-Footprint-1","-32.5120","9.6520","-32.5120","9.6520","-31.2620","11.8171","TopLayer","0","Mounting hole M3","Close fit Di3.2 mm Alt: M3 nut flange"
"MH6","Mounting_hole_M3-Footprint-1","-44.7040","15.2400","-44.7040","15.2400","-43.4540","17.4051","TopLayer","0","Mounting hole M3","Close fit Di3.2 mm Alt: M3 nut flange"
"MH5","Mounting_hole_M3-Footprint-1","-44.7040","35.5600","-44.7040","35.5600","-43.4540","37.7251","TopLayer","0","Mounting hole M3","Close fit Di3.2 mm Alt: M3 nut flange"
"R36","RESC1005X04N","-75.4000","9.9060","-75.4000","9.9060","-75.4000","10.4140","TopLayer","270","CRCW0402-10K0FKED","Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"
